,0
312,"Judy Hoffman,Deepak Pathak,Trevor Darrell,Kate Saenko,"
313,"Yi Sun,Xiaogang Wang,Xiaoou Tang,"
314,"Fatemeh Shokrollahi Yancheshmeh,Ke Chen,Joni-Kristian Kamarainen,"
315,"Kai-Wen Cheng,Yie-Tarng Chen,Wen-Hsien Fang,"
316,"Jiyan Pan,Martial Hebert,Takeo Kanade,"
317,"Zeynep Akata,Scott Reed,Daniel Walter,Honglak Lee,Bernt Schiele,"
318,"Joao Carreira,Abhishek Kar,Shubham Tulsiani,Jitendra Malik,"
319,"Jian Yao,Marko Boben,Sanja Fidler,Raquel Urtasun,"
320,"Albert Gordo,"
321,"Takuya Narihira,Michael Maire,Stella X. Yu,"
322,"Mandar Dixit,Si Chen,Dashan Gao,Nikhil Rasiwasia,Nuno Vasconcelos,"
323,"Xiao Lin,Devi Parikh,"
324,"Dingwen Zhang,Junwei Han,Chao Li,Jingdong Wang,"
325,"Filippo Bergamasco,Andrea Albarelli,Luca Cosmo,Andrea Torsello,Emanuele Rodola,Daniel Cremers,"
326,"Wei Liu,Rongrong Ji,Shaozi Li,"
327,"Abel Gonzalez-Garcia,Alexander Vezhnevets,Vittorio Ferrari,"
328,"Aasa Feragen,Francois Lauze,Soren Hauberg,"
329,"Dmitry Laptev,Joachim M. Buhmann,"
330,"Joaquin Zepeda,Patrick Perez,"
331,"Moritz Menze,Andreas Geiger,"
332,"Hang Zhang,Kristin Dana,Ko Nishino,"
333,"Gunhee Kim,Seungwhan Moon,Leonid Sigal,"
334,"Michael Gygli,Helmut Grabner,Luc Van Gool,"
335,"Marcus A. Brubaker,Ali Punjani,David J. Fleet,"
336,"Paul Wohlhart,Vincent Lepetit,"
337,"Liuyun Duan,Florent Lafarge,"
338,"Andrej Karpathy,Li Fei-Fei,"
339,"Hyung Jin Chang,Yiannis Demiris,"
340,"Rushil Anirudh,Pavan Turaga,Jingyong Su,Anuj Srivastava,"
341,"Oriol Vinyals,Alexander Toshev,Samy Bengio,Dumitru Erhan,"
342,"Branislav Micusik,Horst Wildenauer,"
343,"Jiaping Zhao,Christian Siagian,Laurent Itti,"
344,"Lijun Wang,Huchuan Lu,Xiang Ruan,Ming-Hsuan Yang,"
345,"YiChang Shih,Dilip Krishnan,Fredo Durand,William T. Freeman,"
346,"Anna Rohrbach,Marcus Rohrbach,Niket Tandon,Bernt Schiele,"
347,"Srinath Sridhar,Franziska Mueller,Antti Oulasvirta,Christian Theobalt,"
348,"Peng Wang,Chunhua Shen,Anton van den Hengel,"
349,"Wangmeng Zuo,Dongwei Ren,Shuhang Gu,Liang Lin,Lei Zhang,"
350,"Karthikeyan Shanmuga Vadivel,Thuyen Ngo,Miguel Eckstein,B.S. Manjunath,"
351,"Jingming Dong,Nikolaos Karianakis,Damek Davis,Joshua Hernandez,Jonathan Balzer,Stefano Soatto,"
